node_id,signature,class_name,method_name,descriptor,external,entrypoint,methodname,accessflags,classname
Lcom/google/gson/TypeAdapter; toJson (Ljava/io/Writer; Ljava/lang/Object;)V,Lcom/google/gson/TypeAdapter; toJson (Ljava/io/Writer; Ljava/lang/Object;)V,,,(Ljava/io/Writer; Ljava/lang/Object;)V,False,False,toJson,public final,Lcom/google/gson/TypeAdapter;
Lcom/google/gson/TypeAdapter; toJsonTree (Ljava/lang/Object;)Lcom/google/gson/JsonElement;,Lcom/google/gson/TypeAdapter; toJsonTree (Ljava/lang/Object;)Lcom/google/gson/JsonElement;,,,(Ljava/lang/Object;)Lcom/google/gson/JsonElement;,False,False,toJsonTree,public final,Lcom/google/gson/TypeAdapter;
Lcom/google/gson/internal/$Gson$Preconditions; <init> ()V,Lcom/google/gson/internal/$Gson$Preconditions; <init> ()V,,,()V,False,False,<init>,private constructor,Lcom/google/gson/internal/$Gson$Preconditions;
Lcom/google/gson/internal/$Gson$Preconditions; checkNotNull (Ljava/lang/Object;)Ljava/lang/Object;,Lcom/google/gson/internal/$Gson$Preconditions; checkNotNull (Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object;)Ljava/lang/Object;,False,False,checkNotNull,public static,Lcom/google/gson/internal/$Gson$Preconditions;
Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; <init> (Ljava/lang/reflect/Type;)V,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; <init> (Ljava/lang/reflect/Type;)V,,,(Ljava/lang/reflect/Type;)V,False,False,<init>,public constructor,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl;
Lcom/google/gson/internal/$Gson$Types; canonicalize (Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types; canonicalize (Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,,,(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,False,False,canonicalize,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; equals (Ljava/lang/Object;)Z,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; equals (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,False,False,equals,public,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl;
Lcom/google/gson/internal/$Gson$Types; equals (Ljava/lang/reflect/Type; Ljava/lang/reflect/Type;)Z,Lcom/google/gson/internal/$Gson$Types; equals (Ljava/lang/reflect/Type; Ljava/lang/reflect/Type;)Z,,,(Ljava/lang/reflect/Type; Ljava/lang/reflect/Type;)Z,False,False,equals,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; hashCode ()I,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; hashCode ()I,,,()I,False,False,hashCode,public,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl;
Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; toString ()Ljava/lang/String;,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl; toString ()Ljava/lang/String;,,,()Ljava/lang/String;,False,False,toString,public,Lcom/google/gson/internal/$Gson$Types$GenericArrayTypeImpl;
