node_id,signature,class_dot,method_name,descriptor,external,degree,katz,closeness,harmonic
Lv0/f0; <init> (Lv0/n0;)V,Lv0/f0; <init> (Lv0/n0;)V,,,(Lv0/n0;)V,False,0.0001838235294117647,0.007815547712491367,0.00012254901960784314,0.00012254901960784314
Ljava/util/concurrent/CopyOnWriteArrayList; <init> ()V,Ljava/util/concurrent/CopyOnWriteArrayList; <init> ()V,,,()V,True,0.0003676470588235294,0.00784706424329325,0.0,0.0
Lv0/g0; <init> (Lv0/n0;)V,Lv0/g0; <init> (Lv0/n0;)V,,,(Lv0/n0;)V,False,0.00012254901960784314,0.007815547712491367,6.127450980392157e-05,6.127450980392157e-05
Lv0/g1; <init> (I I Lv0/w; Lf0/d;)V,Lv0/g1; <init> (I I Lv0/w; Lf0/d;)V,,,(I I Lv0/w; Lf0/d;)V,False,0.000428921568627451,0.007815532490964533,0.0007233381157340985,0.0008272058823529412
Lv0/g1; a ()V,Lv0/g1; a ()V,,,()V,False,0.0006127450980392157,0.007828157415684819,0.00045120320855614974,0.0004901960784313725
Ljava/util/LinkedHashSet; <init> (Ljava/util/Collection;)V,Ljava/util/LinkedHashSet; <init> (Ljava/util/Collection;)V,,,(Ljava/util/Collection;)V,True,6.127450980392157e-05,0.00781554265090365,0.0,0.0
Lv0/g1; c (I I)V,Lv0/g1; c (I I)V,,,(I I)V,False,0.0007352941176470588,0.007821855086712242,0.0007720588235294117,0.0009191176470588235
La/h; s (I)Ljava/lang/String;,La/h; s (I)Ljava/lang/String;,,,(I)Ljava/lang/String;,False,0.00012254901960784314,0.007821829705246293,0.0,0.0
La/h; t (I)Ljava/lang/String;,La/h; t (I)Ljava/lang/String;,,,(I)Ljava/lang/String;,False,0.00012254901960784314,0.007821829705246293,0.0,0.0
Lv0/g1; toString ()Ljava/lang/String;,Lv0/g1; toString ()Ljava/lang/String;,,,()Ljava/lang/String;,False,0.0005514705882352941,0.0078092352725979185,0.0005514705882352941,0.0005514705882352941
Lv0/h0; <clinit> ()V,Lv0/h0; <clinit> ()V,,,()V,False,6.127450980392157e-05,0.0078092352725979185,8.169934640522875e-05,9.191176470588235e-05
Lv0/h0; <init> (Lv0/n0;)V,Lv0/h0; <init> (Lv0/n0;)V,,,(Lv0/n0;)V,False,0.00012254901960784314,0.007815547712491367,6.127450980392157e-05,6.127450980392157e-05
Lv0/h0; c (Ljava/lang/ClassLoader; Ljava/lang/String;)Ljava/lang/Class;,Lv0/h0; c (Ljava/lang/ClassLoader; Ljava/lang/String;)Ljava/lang/Class;,,,(Ljava/lang/ClassLoader; Ljava/lang/String;)Ljava/lang/Class;,False,0.00024509803921568627,0.007815542634564234,0.0005196549773755656,0.0006127450980392157
Lv0/h1; <clinit> ()V,Lv0/h1; <clinit> ()V,,,()V,False,6.127450980392157e-05,0.0078092352725979185,8.169934640522875e-05,9.191176470588235e-05
Lv0/k0; <clinit> ()V,Lv0/k0; <clinit> ()V,,,()V,False,6.127450980392157e-05,0.0078092352725979185,8.169934640522875e-05,9.191176470588235e-05
Lv0/k0; writeToParcel (Landroid/os/Parcel; I)V,Lv0/k0; writeToParcel (Landroid/os/Parcel; I)V,,,(Landroid/os/Parcel; I)V,False,0.00012254901960784314,0.0078092352725979185,0.00012254901960784314,0.00012254901960784314
Lv0/k; <init> (Lv0/m; Landroid/view/View; Z Lv0/g1; Lv0/h;)V,Lv0/k; <init> (Lv0/m; Landroid/view/View; Z Lv0/g1; Lv0/h;)V,,,(Lv0/m; Landroid/view/View; Z Lv0/g1; Lv0/h;)V,False,0.00012254901960784314,0.007815532490964533,6.127450980392157e-05,6.127450980392157e-05
Lv0/k; onAnimationEnd (Landroid/animation/Animator;)V,Lv0/k; onAnimationEnd (Landroid/animation/Animator;)V,,,(Landroid/animation/Animator;)V,False,0.0006740196078431372,0.0078092352725979185,0.0010605203619909501,0.0012254901960784314
Lv0/l; <init> (Landroid/view/View; Lv0/h; Lv0/m; Lv0/g1;)V,Lv0/l; <init> (Landroid/view/View; Lv0/h; Lv0/m; Lv0/g1;)V,,,(Landroid/view/View; Lv0/h; Lv0/m; Lv0/g1;)V,False,0.00012254901960784314,0.007815532490964533,6.127450980392157e-05,6.127450980392157e-05
Lv0/l; onAnimationEnd (Landroid/view/animation/Animation;)V,Lv0/l; onAnimationEnd (Landroid/view/animation/Animation;)V,,,(Landroid/view/animation/Animation;)V,False,0.0005514705882352941,0.0078092352725979185,0.0007506127450980393,0.0008884803921568628
Lv0/l; onAnimationRepeat (Landroid/view/animation/Animation;)V,Lv0/l; onAnimationRepeat (Landroid/view/animation/Animation;)V,,,(Landroid/view/animation/Animation;)V,False,6.127450980392157e-05,0.0078092352725979185,0.0004308363970588235,0.00045955882352941176
Lv0/l; onAnimationStart (Landroid/view/animation/Animation;)V,Lv0/l; onAnimationStart (Landroid/view/animation/Animation;)V,,,(Landroid/view/animation/Animation;)V,False,0.000428921568627451,0.0078092352725979185,0.0006204044117647058,0.0007352941176470588
Lv0/m; <init> (Landroid/view/ViewGroup;)V,Lv0/m; <init> (Landroid/view/ViewGroup;)V,,,(Landroid/view/ViewGroup;)V,False,0.00030637254901960784,0.007821860225912183,0.0005208333333333333,0.0005821078431372549
Lv0/m; a (Ljava/util/ArrayList; Landroid/view/View;)V,Lv0/m; a (Ljava/util/ArrayList; Landroid/view/View;)V,,,(Ljava/util/ArrayList; Landroid/view/View;)V,False,0.0005514705882352941,0.007821834775003717,0.0003753063725490196,0.0003982843137254902
Lv0/m; i (Lo/b; Landroid/view/View;)V,Lv0/m; i (Lo/b; Landroid/view/View;)V,,,(Lo/b; Landroid/view/View;)V,False,0.0004901960784313725,0.007821834775003717,0.0005106209150326798,0.0005923202614379085
Lv0/n0; E ()Lv0/e0;,Lv0/n0; E ()Lv0/e0;,,,()Lv0/e0;,False,0.00024509803921568627,0.00782816761238762,0.0,0.0
Lv0/m; n (Lo/b; Ljava/util/Collection;)V,Lv0/m; n (Lo/b; Ljava/util/Collection;)V,,,(Lo/b; Ljava/util/Collection;)V,False,0.0006127450980392157,0.007815532490964533,0.0014586448986374212,0.0016850490196078428
Lv0/j; invoke (Ljava/lang/Object;)Ljava/lang/Object;,Lv0/j; invoke (Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object;)Ljava/lang/Object;,False,0.0009191176470588235,0.007815532478709971,0.00131070006127451,0.0015216503267973859
Lv0/j; <init> (I Ljava/lang/Object;)V,Lv0/j; <init> (I Ljava/lang/Object;)V,,,(I Ljava/lang/Object;)V,False,0.00024509803921568627,0.00782812689501893,8.169934640522875e-05,9.191176470588235e-05
Lo/b; entrySet ()Ljava/util/Set;,Lo/b; entrySet ()Ljava/util/Set;,,,()Ljava/util/Set;,False,0.0001838235294117647,0.007815532478709971,0.00013786764705882353,0.00015318627450980392
Lv0/m; b (I I Lv0/s0;)V,Lv0/m; b (I I Lv0/s0;)V,,,(I I Lv0/s0;)V,False,0.0006740196078431372,0.007834424211422034,0.001149874843554443,0.0013378267973856211
Lv0/m; j (Lv0/w;)Lv0/g1;,Lv0/m; j (Lv0/w;)Lv0/g1;,,,(Lv0/w;)Lv0/g1;,False,0.0003676470588235294,0.007821844934942835,0.0002553104575163399,0.00027573529411764705
Lv0/f1; <init> (I I Lv0/s0; Lf0/d;)V,Lv0/f1; <init> (I I Lv0/s0; Lf0/d;)V,,,(I I Lv0/s0; Lf0/d;)V,False,0.00030637254901960784,0.007815547700236805,0.0007815390307066223,0.0008680555555555555
Lv0/m; c (I Lv0/s0;)V,Lv0/m; c (I Lv0/s0;)V,,,(I Lv0/s0;)V,False,0.0005514705882352941,0.007815568007860478,0.0010688355530891604,0.001326593137254902
Lv0/m; d (Lv0/s0;)V,Lv0/m; d (Lv0/s0;)V,,,(Lv0/s0;)V,False,0.0004901960784313725,0.007815568007860478,0.0010490423021060277,0.0012857434640522875
Lv0/m; e (Lv0/s0;)V,Lv0/m; e (Lv0/s0;)V,,,(Lv0/s0;)V,False,0.0004901960784313725,0.007815568007860478,0.0010490423021060277,0.0012857434640522875
Lv0/m; f (Lv0/s0;)V,Lv0/m; f (Lv0/s0;)V,,,(Lv0/s0;)V,False,0.0004901960784313725,0.007815568007860478,0.0010490423021060277,0.0012857434640522875
Lv0/m; g (Ljava/util/ArrayList; Z)V,Lv0/m; g (Ljava/util/ArrayList; Z)V,,,(Ljava/util/ArrayList; Z)V,False,0.006433823529411764,0.007815547696151951,0.0077388366548805316,0.009390318627450975
Lv0/b1; c (Landroid/view/ViewGroup; Ljava/lang/Object;)V,Lv0/b1; c (Landroid/view/ViewGroup; Ljava/lang/Object;)V,,,(Landroid/view/ViewGroup; Ljava/lang/Object;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/g1; d ()V,Lv0/g1; d ()V,,,()V,False,0.0001838235294117647,0.00782816250178166,0.0,0.0
Lv0/g; <init> (Landroid/view/View; Lv0/h; Lv0/m; Lv0/g1;)V,Lv0/g; <init> (Landroid/view/View; Lv0/h; Lv0/m; Lv0/g1;)V,,,(Landroid/view/View; Lv0/h; Lv0/m; Lv0/g1;)V,False,0.00012254901960784314,0.007815532490964533,6.127450980392157e-05,6.127450980392157e-05
Lo/b; values ()Ljava/util/Collection;,Lo/b; values ()Ljava/util/Collection;,,,()Ljava/util/Collection;,False,0.0001838235294117647,0.007815532490964533,0.00013786764705882353,0.00015318627450980392
Lo/b; keySet ()Ljava/util/Set;,Lo/b; keySet ()Ljava/util/Set;,,,()Ljava/util/Set;,False,0.0001838235294117647,0.007815532490964533,0.00013786764705882353,0.00015318627450980392
Lv0/i; h ()Lv0/b1;,Lv0/i; h ()Lv0/b1;,,,()Lv0/b1;,False,0.0004901960784313725,0.007815532490964533,0.00043572984749455336,0.00045955882352941176
Lv0/b1; f (Ljava/lang/Object;)Ljava/lang/Object;,Lv0/b1; f (Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object;)Ljava/lang/Object;,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; i (Ljava/lang/Object; Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,Lv0/b1; i (Ljava/lang/Object; Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object; Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; a (Landroid/view/View; Ljava/lang/Object;)V,Lv0/b1; a (Landroid/view/View; Ljava/lang/Object;)V,,,(Landroid/view/View; Ljava/lang/Object;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; j (Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,Lv0/b1; j (Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/f; <init> (Landroid/animation/Animator; Lv0/g1;)V,Lv0/f; <init> (Landroid/animation/Animator; Lv0/g1;)V,,,(Landroid/animation/Animator; Lv0/g1;)V,False,0.00012254901960784314,0.007815532490964533,6.127450980392157e-05,6.127450980392157e-05
Ljava/util/LinkedHashMap; containsValue (Ljava/lang/Object;)Z,Ljava/util/LinkedHashMap; containsValue (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,True,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Landroid/view/animation/Animation; setAnimationListener (Landroid/view/animation/Animation$AnimationListener;)V,Landroid/view/animation/Animation; setAnimationListener (Landroid/view/animation/Animation$AnimationListener;)V,,,(Landroid/view/animation/Animation$AnimationListener;)V,True,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; r (Ljava/lang/Object;)Ljava/lang/Object;,Lv0/b1; r (Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object;)Ljava/lang/Object;,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/h; h (Landroid/content/Context;)Lj/b0;,Lv0/h; h (Landroid/content/Context;)Lj/b0;,,,(Landroid/content/Context;)Lj/b0;,False,0.0007965686274509804,0.007815532490964533,0.0008049242424242424,0.0008884803921568627
