api_order,api_text,class_dot,method_name,matched_count,matched_signatures
70,android.database.sqlite.SQLiteDatabase execSQL,android.database.sqlite.SQLiteDatabase,execSQL,0,[]
71,android.database.sqlite.SQLiteDatabase insert,android.database.sqlite.SQLiteDatabase,insert,0,[]
72,android.database.sqlite.SQLiteDatabase insertWithOnConflict,android.database.sqlite.SQLiteDatabase,insertWithOnConflict,0,[]
73,android.database.sqlite.SQLiteDatabase isOpen,android.database.sqlite.SQLiteDatabase,isOpen,0,[]
74,android.database.sqlite.SQLiteDatabase query,android.database.sqlite.SQLiteDatabase,query,0,[]
75,android.database.sqlite.SQLiteDatabase rawQuery,android.database.sqlite.SQLiteDatabase,rawQuery,0,[]
76,android.database.sqlite.SQLiteDatabase update,android.database.sqlite.SQLiteDatabase,update,0,[]
77,android.database.sqlite.SQLiteDatabase updateWithOnConflict,android.database.sqlite.SQLiteDatabase,updateWithOnConflict,0,[]
78,android.database.sqlite.SQLiteOpenHelper SQLiteOpenHelper,android.database.sqlite.SQLiteOpenHelper,SQLiteOpenHelper,0,[]
79,android.graphics.drawable.NinePatchDrawable NinePatchDrawable,android.graphics.drawable.NinePatchDrawable,NinePatchDrawable,0,[]
80,android.graphics.NinePatch isNinePatchChunk,android.graphics.NinePatch,isNinePatchChunk,0,[]
81,android.hardware.Camera open,android.hardware.Camera,open,0,[]
82,android.hardware.Sensor getName,android.hardware.Sensor,getName,0,[]
83,android.hardware.Sensor getVendor,android.hardware.Sensor,getVendor,0,[]
84,android.hardware.Sensor getVersion,android.hardware.Sensor,getVersion,0,[]
85,android.inputmethodservice.KeyboardView swipeDown,android.inputmethodservice.KeyboardView,swipeDown,0,[]
86,android.inputmethodservice.KeyboardView swipeRight,android.inputmethodservice.KeyboardView,swipeRight,0,[]
87,android.location.LocationManager addGpsStatusListener,android.location.LocationManager,addGpsStatusListener,0,[]
88,android.location.LocationManager addNmeaListener,android.location.LocationManager,addNmeaListener,0,[]
89,android.location.LocationManager addProximityAlert,android.location.LocationManager,addProximityAlert,0,[]
90,android.location.LocationManager getBestProvider,android.location.LocationManager,getBestProvider,0,[]
91,android.location.LocationManager getLastKnownLocation,android.location.LocationManager,getLastKnownLocation,0,[]
92,android.location.LocationManager getProvider,android.location.LocationManager,getProvider,0,[]
93,android.location.LocationManager getProviders,android.location.LocationManager,getProviders,0,[]
94,android.location.LocationManager isProviderEnabled,android.location.LocationManager,isProviderEnabled,0,[]
95,android.location.LocationManager requestLocationUpdates,android.location.LocationManager,requestLocationUpdates,0,[]
96,android.location.LocationManager requestSingleUpdate,android.location.LocationManager,requestSingleUpdate,0,[]
97,android.location.LocationManager sendExtraCommand,android.location.LocationManager,sendExtraCommand,0,[]
98,android.location.LocationManager setTestProviderEnabled,android.location.LocationManager,setTestProviderEnabled,0,[]
99,android.media.AudioRecord AudioRecord,android.media.AudioRecord,AudioRecord,0,[]
100,android.media.MediaRecorder setAudioSource,android.media.MediaRecorder,setAudioSource,0,[]
101,android.media.MediaRecorder setVideoSource,android.media.MediaRecorder,setVideoSource,0,[]
102,android.net.ConnectivityManager startUsingNetworkFeature,android.net.ConnectivityManager,startUsingNetworkFeature,0,[]
103,android.net.NetworkInfo getExtraInfo,android.net.NetworkInfo,getExtraInfo,0,[]
104,android.net.NetworkInfo isAvailable,android.net.NetworkInfo,isAvailable,0,[]
105,android.net.Proxy getDefaultHost,android.net.Proxy,getDefaultHost,0,[]
106,android.net.Proxy getDefaultPort,android.net.Proxy,getDefaultPort,0,[]
